NAME	OFFICE	DOCID
Adams, Hon.. Alma Shealey	NC12	10066961
Aderholt, Hon.. Robert B.	AL04	10067693
Aguilar, Hon.. Pete	CA33	10067524
Alford, Hon.. Mark	MO04	10067381
Allen, Hon.. Richard W.	GA12	10071878
Amata, Hon.. Aumua	AS00	10067610
Amo, Hon.. Gabe F.	RI01	10066976
Amodei, Hon.. Mark E.	NV02	10067998
Arenholz, Hon.. Ashley Hinson	IA02	10066620
Arrington, Hon.. Jodey	TX19	10067582
Auchincloss, Hon.. Jake	MA04	10065692
Babin, Hon.. Brian	TX36	10066194
Bacon, Hon.. Donald J.	NE02	10066793
Baird, Hon.. James R Dr	IN04	10069143
Balderson, Hon.. Troy	OH12	10068064
Balint, Hon.. Rebecca 'Becca'	VT00	10066161
"Barr, Hon.. Garland ""Andy"""	KY06	10066141
Barragan, Hon.. Nanette	CA44	10067907
Bean, Hon.. Aaron P.	FL04	10068387
Beatty, Hon.. Joyce	OH03	10068996
Bentz, Hon.. Cliff	OR02	10067150
Bera, Hon.. Ami	CA06	10071877
Bergman, Hon.. John	MI01	10068849
Beyer, Hon.. Donald Sternoff	VA08	10068176
Bice, Hon.. Stephanie	OK05	10067925
Biggs, Hon.. Andy	AZ05	10066999
Bilirakis, Hon.. Gus M.	FL12	8221132
Bishop, Hon.. Sanford D.	GA02	10067641
Boebert, Hon.. Lauren	CO03	10070343
Bonamici, Hon.. Suzanne	OR01	10067137
Bost, Hon.. Michael	IL12	10068493
Boyle, Hon.. Brendan F.	PA02	10071887
Brecheen, Hon.. Josh	OK02	10066899
Brown, Hon.. M Shontel	OH11	10068844
Brownley, Hon.. Julia	CA26	10066853
Buchanan, Hon.. Vern	FL16	10068803
Budzinski, Hon.. Nikki	IL13	10066604
Burchett, Hon.. Tim	TN02	10067407
Burlison, Hon.. Eric	MO07	10072081
Calvert, Hon.. Ken	CA41	10068324
Cammack, Hon.. Kat	FL03	10072021
Carbajal, Hon.. Salud O.	CA24	10067103
Carey, Hon.. Mike	OH15	10072075
Carson, Hon.. André	IN07	10068233
Carter, Hon.. Earl Leroy	GA01	10066714
Carter, Hon.. John R.	TX31	10067014
Carter, Hon.. Troy A.	LA02	8221133
Casar, Hon.. Greg	TX35	10067213
Case, Hon.. Ed	HI01	10066777
Casten, Hon.. Sean	IL06	10066137
Castor, Hon.. Kathy	FL14	10066133
Castro, Hon.. Joaquin	TX20	9115587
Cherfilus-McCormick, Hon.. Sheila	FL20	9115612
Chu, Hon.. Judy	CA28	10066343
Ciscomani, Hon.. Juan	AZ06	10067485
Clark, Hon.. Katherine M.	MA05	10066244
Clarke, Hon.. Yvette D.	NY09	10069178
Cleaver, Hon.. Emanuel	MO05	10067367
Cline, Hon.. Benjamin Lee	VA06	10068858
Cloud, Hon.. Michael	TX27	10067265
Clyburn, Hon.. James E.	SC06	10066672
Clyde, Hon.. Andrew	GA09	10068925
Cohen, Hon.. Steve	TN09	10067445
Cole, Hon.. Tom	OK04	10067724
Coleman, Hon.. Bonnie Watson	NJ12	8221125
Collins, Hon.. Michael A.	GA10	10070507
Comer, Hon.. James	KY01	10067637
Connolly, Hon.. Gerald E.	VA11	10067247
Correa, Hon.. Lou	CA46	10066488
Costa, Hon.. Jim M.	CA21	10067734
Courtney, Hon.. Joe	CT02	10067873
Craig, Hon.. Angela Dawn	MN02	8221134
Crane, Hon.. Eli	AZ02	10066465
"Crawford, Hon.. Eric A. ""Rick"""	AR01	10067531
Crenshaw, Hon.. Daniel	TX02	10067491
Crockett, Hon.. Jasmine	TX30	10066616
Crow, Hon.. Jason	CO06	10066301
Cuellar, Hon.. Henry	TX28	10067642
Davids, Hon.. Sharice	KS03	10067108
Davidson, Hon.. Warren	OH08	10067467
Davis, Hon.. Danny K.	IL07	10070482
Davis, Hon.. Don	NC01	10071969
De La Cruz, Hon.. Monica	TX15	10067135
DeGette, Hon.. Diana	CO01	10066794
DeLauro, Hon.. Rosa L.	CT03	10067725
Dean, Hon.. Madeleine	PA04	10068302
DelBene, Hon.. Suzan K.	WA01	10066931
Deluzio, Hon.. Christopher	PA17	10065678
DesJarlais, Hon.. Scott	TN04	10072039
