NAME	FILER	DATE	URL
Angela D Alsobrooks	Alsobrooks, Angela (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/3b286d6a-d4ab-4557-a355-1886953b70b3/
Tammy Baldwin	Baldwin, Tammy (Senator)	05/13/2025	https://efdsearch.senate.gov/search/view/annual/e1d51691-0931-46b8-a518-c4fc261653f9/
James Banks	Banks, James E. (Senator)	08/10/2025	https://efdsearch.senate.gov/search/view/annual/48db1810-e330-4152-bbcb-d5496928ac2a/
John A Barrasso	Barrasso, John (Senator)	05/14/2025	https://efdsearch.senate.gov/search/view/annual/9a90bea5-c762-4ccb-983f-db68a76b1e15/
Michael F Bennet	Bennet, Michael (Senator)	05/12/2025	https://efdsearch.senate.gov/search/view/annual/02513815-e33c-4286-a1c0-be256cfe895b/
Marsha Blackburn	Blackburn, Marsha (Senator)	08/12/2025	https://efdsearch.senate.gov/search/view/annual/acdd06ce-e59d-4504-b0d4-4048c85891e5/
Lisa Blunt Rochester	Blunt Rochester, Lisa (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/8b27a178-5d21-4754-9f85-ff6471d75dea/
Cory A Booker	Booker, Cory (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/c5bef4ec-17d4-4c1f-b147-13453fe81588/
John Boozman	Boozman, John (Senator)	07/23/2025	https://efdsearch.senate.gov/search/view/annual/9441167a-b907-4f2a-a52c-69303df6ee56/
Katie Britt	Britt, Katie (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/d5afe8e9-b8b3-4265-9075-7935cbb7ba0b/
THEODORE P BUDD	Budd, Ted (Senator)	08/07/2025	https://efdsearch.senate.gov/search/view/annual/81dc00fe-0704-465b-8a07-5648b4711d24/
Maria Cantwell	Cantwell, Maria (Senator)	05/13/2025	https://efdsearch.senate.gov/search/view/annual/7c685221-f760-4704-9387-874d9e7aab6e/
Shelley M Capito	Capito, Shelley Moore (Senator)	05/12/2025	https://efdsearch.senate.gov/search/view/annual/56ff880c-f3ce-468c-99cd-a65364d4a0ad/
William Cassidy	Cassidy, Bill (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/e010e69c-156c-41bd-b966-08248add369d/
Susan M Collins	Collins, Susan M. (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/3dfde21c-e97b-43ff-99ed-150fb29dfcdc/
Christopher A Coons	Coons, Chris (Senator)	08/12/2025	https://efdsearch.senate.gov/search/view/annual/d3762084-e080-4f01-89d5-90aa0974334f/
John Cornyn	Cornyn, John (Senator)	05/14/2025	https://efdsearch.senate.gov/search/view/annual/24280fe2-a3f8-485c-bdce-f5991d22c1cb/
Catherine Cortez Masto	Cortez Masto, Catherine  (Senator)	08/12/2025	https://efdsearch.senate.gov/search/view/annual/ecd06831-656a-4e2e-b673-380541d173c0/
Tom Cotton	Cotton, Tom (Senator)	08/08/2025	https://efdsearch.senate.gov/search/view/annual/368f4a5e-f826-4f3e-9346-1e128c4aa6f5/
Kevin J Cramer	Cramer, Kevin (Senator)	03/19/2025	https://efdsearch.senate.gov/search/view/annual/91d94411-dd88-48e8-acc9-e386407a728f/
Michael D Crapo	Crapo, Michael D. (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/75ec449f-af6f-41af-b911-48b0e9ed23c2/
Rafael E Cruz	Cruz, Ted (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/8b455ae7-a24e-462a-95b8-78f7067c0d22/
John R Curtis	Curtis, John R. (Senator)	08/13/2025	https://efdsearch.senate.gov/search/view/annual/55e88d82-9349-4089-9a2b-51b80b3f3431/
Steve Daines	Daines, Steve (Senator)	05/05/2025	https://efdsearch.senate.gov/search/view/annual/64bcf990-688c-41ce-9300-d7452f78e583/
Ladda Tammy Duckworth	Duckworth, Tammy (Senator)	07/31/2025	https://efdsearch.senate.gov/search/view/annual/04a80b6d-cfca-4892-8926-b6ef44fdcf29/
Joni K Ernst	Ernst, Joni (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/512f89d1-aaa9-4850-bd2b-29622809776e/
John Fetterman	Fetterman, John (Senator)	05/15/2025	https://efdsearch.senate.gov/search/view/annual/9ef89267-7a26-4195-8e77-fece18ed09a7/
